           Time         Y-Force  Work integrand            Mass      Mass error
          0.000    0.0021141128    0.0000000000             NaN             NaN
          0.001    0.0016556143    0.0000000025             NaN             NaN
          0.002    0.0012608290    0.0000000075             NaN             NaN
          0.003    0.0013650815    0.0000000183             NaN             NaN
          0.004    0.0022505324    0.0000000538             NaN             NaN
          0.005    0.0035743390    0.0000001334             NaN             NaN
          0.006    0.0049627710    0.0000002667             NaN             NaN
          0.007    0.0061773306    0.0000004518             NaN             NaN
          0.008    0.0070740241    0.0000006755             NaN             NaN
          0.009    0.0075835544    0.0000009162             NaN             NaN
          0.010    0.0077116836    0.0000011498             NaN             NaN
          0.011    0.0075223788    0.0000013566             NaN             NaN
          0.012    0.0071041334    0.0000015240             NaN             NaN
          0.013    0.0065382943    0.0000016454             NaN             NaN
          0.014    0.0058819721    0.0000017160             NaN             NaN
          0.015    0.0051663508    0.0000017294             NaN             NaN
          0.016    0.0044045457    0.0000016768             NaN             NaN
          0.017    0.0036020460    0.0000015473             NaN             NaN
          0.018    0.0027648690    0.0000013309             NaN             NaN
          0.019    0.0019034605    0.0000010204             NaN             NaN
          0.020    0.0010326836    0.0000006131             NaN             NaN
          0.021    0.0001694001    0.0000001108             NaN             NaN
          0.022   -0.0006707226   -0.0000004814             NaN             NaN
          0.023   -0.0014760270   -0.0000011573             NaN             NaN
          0.024   -0.0022406010   -0.0000019119             NaN             NaN
          0.025   -0.0029648200   -0.0000027437             NaN             NaN
          0.026   -0.0036548381   -0.0000036564             NaN             NaN
          0.027   -0.0043213030   -0.0000046598             NaN             NaN
          0.028   -0.0049776172   -0.0000057697             NaN             NaN
          0.029   -0.0056380708   -0.0000070069             NaN             NaN
          0.030   -0.0063161304   -0.0000083961             NaN             NaN
          0.031   -0.0070231012   -0.0000099637             NaN             NaN
          0.032   -0.0077672857   -0.0000117360             NaN             NaN
          0.033   -0.0085536660   -0.0000137377             NaN             NaN
          0.034   -0.0093840535   -0.0000159907             NaN             NaN
          0.035   -0.0102575919   -0.0000185132             NaN             NaN
          0.036   -0.0111714716   -0.0000213206             NaN             NaN
          0.037   -0.0121217183   -0.0000244249             NaN             NaN
          0.038   -0.0131039356   -0.0000278366             NaN             NaN
          0.039   -0.0141139211   -0.0000315650             NaN             NaN
          0.040   -0.0151481073   -0.0000356195             NaN             NaN
          0.041   -0.0162038177   -0.0000400107             NaN             NaN
          0.042   -0.0172793512   -0.0000447505             NaN             NaN
          0.043   -0.0183739219   -0.0000498530             NaN             NaN
          0.044   -0.0194875065   -0.0000553343             NaN             NaN
          0.045   -0.0206206396   -0.0000612125             NaN             NaN
          0.046   -0.0217741916   -0.0000675072             NaN             NaN
          0.047   -0.0229491613   -0.0000742395             NaN             NaN
          0.048   -0.0241465003   -0.0000814307             NaN             NaN
          0.049   -0.0253669809   -0.0000891029             NaN             NaN
          0.050   -0.0266111076   -0.0000972777             NaN             NaN
          0.051   -0.0278790696   -0.0001059760             NaN             NaN
          0.052   -0.0291707268   -0.0001152184             NaN             NaN
          0.053   -0.0304856216   -0.0001250239             NaN             NaN
          0.054   -0.0318230094   -0.0001354109             NaN             NaN
          0.055   -0.0331819018   -0.0001463962             NaN             NaN
          0.056   -0.0345611190   -0.0001579956             NaN             NaN
