Time, Y-Force, Work integrand
0.0000000000e+00, +3.9004137692e-03, +0.0000000000e+00
2.5370900630e-03, -2.1464620194e-03, -2.0698313669e-08
5.0742054180e-03, -8.1770075443e-03, -3.1500576142e-07
7.6113715840e-03, -1.4191297365e-02, -1.2285229309e-06
1.0148613885e-02, -2.0189406042e-02, -3.1032653129e-06
1.2685957485e-02, -2.6171408136e-02, -6.2777115695e-06
1.5223427418e-02, -3.2137378204e-02, -1.1086851081e-05
1.7761048607e-02, -3.8087390809e-02, -1.7862230817e-05
2.0298845889e-02, -4.4021520509e-02, -2.6932001592e-05
2.2836844022e-02, -4.9939841865e-02, -3.8620963692e-05
2.5375067709e-02, -5.5842429436e-02, -5.3250611983e-05
2.7913541599e-02, -6.1729357782e-02, -7.1139180405e-05
3.0452290305e-02, -6.7600701464e-02, -9.2601686001e-05
3.2991338413e-02, -7.3456535040e-02, -1.1794997243e-04
3.5530710491e-02, -7.9296933072e-02, -1.4749275297e-04
3.8070431097e-02, -8.5121970118e-02, -1.8153565310e-04
4.0610524790e-02, -9.0931720739e-02, -2.2038125262e-04
4.3151016139e-02, -9.6726259494e-02, -2.6432912736e-04
4.5691450957e-02, -1.0250566094e-01, -3.1366939376e-04
4.8231421810e-02, -1.0826999965e-01, -3.6868702161e-04
5.0770902429e-02, -1.1401935017e-01, -4.2966747174e-04
5.3309866610e-02, -1.1975378706e-01, -4.9689261152e-04
5.5848288221e-02, -1.2547338489e-01, -5.7064072416e-04
5.8386141188e-02, -1.3117821821e-01, -6.5118651807e-04
6.0923399565e-02, -1.3686836158e-01, -7.3880113837e-04
6.3460037385e-02, -1.4254388957e-01, -8.3375217394e-04
6.5996028787e-02, -1.4820487673e-01, -9.3630367068e-04
6.8531347995e-02, -1.5385139763e-01, -1.0467161423e-03
7.1065969308e-02, -1.5948352682e-01, -1.1652465816e-03
7.3599867243e-02, -1.6510133886e-01, -1.2921484767e-03
7.6133016032e-02, -1.7070490831e-01, -1.4276718070e-03
7.8665383180e-02, -1.7629430974e-01, -1.5720627985e-03
8.1196947171e-02, -1.8186961770e-01, -1.7255645899e-03
8.3727682779e-02, -1.8743090675e-01, -1.8884167301e-03
8.6257566205e-02, -1.9297825146e-01, -2.0608553852e-03
8.8786573960e-02, -1.9851172638e-01, -2.2431133151e-03
9.1314682604e-02, -2.0403140607e-01, -2.4354198777e-03
9.3841867344e-02, -2.0953736509e-01, -2.6380009673e-03
9.6368103300e-02, -2.1502967801e-01, -2.8510790824e-03
9.8893364961e-02, -2.2050841938e-01, -3.0748733057e-03
1.0000000000e-01, -2.2597366376e-01, -3.2201247085e-03
1.0252373621e-01, -2.3142548571e-01, -3.4617655220e-03
1.0504624153e-01, -2.3686395979e-01, -3.7146671220e-03
1.0756749097e-01, -2.4228916057e-01, -3.9790346965e-03
1.1008746184e-01, -2.4770116259e-01, -4.2550702274e-03
1.1260612916e-01, -2.5310004043e-01, -4.5429721870e-03
1.1512347727e-01, -2.5848586864e-01, -4.8429364641e-03
1.1763948544e-01, -2.6385872178e-01, -5.1551553159e-03
1.2015413356e-01, -2.6921867441e-01, -5.4798178009e-03
1.2266740227e-01, -2.7456580109e-01, -5.8171098272e-03
1.2517926770e-01, -2.7990017639e-01, -6.1672136819e-03
1.2768971635e-01, -2.8522187485e-01, -6.5303094388e-03
1.3019865906e-01, -2.9053097104e-01, -6.9065663558e-03
1.3270594641e-01, -2.9582753953e-01, -7.2961431479e-03
1.3521155741e-01, -3.0111165486e-01, -7.6992075690e-03
1.3771547349e-01, -3.0638339161e-01, -8.1159244737e-03
1.4021767393e-01, -3.1164282433e-01, -8.5464553450e-03
1.4271809007e-01, -3.1689002757e-01, -8.9909527345e-03
1.4521674120e-01, -3.2212507591e-01, -9.4495763357e-03
1.4771362163e-01, -3.2734804389e-01, -9.9224801547e-03
1.5020871252e-01, -3.3255900609e-01, -1.0409813620e-02
1.5270199780e-01, -3.3775803705e-01, -1.0911723533e-02
1.5519354958e-01, -3.4294521135e-01, -1.1428366192e-02
1.5768329491e-01, -3.4812060353e-01, -1.1959875362e-02
1.6017121140e-01, -3.5328428816e-01, -1.2506388549e-02
1.6265726947e-01, -3.5843633981e-01, -1.3068039174e-02
1.6514130460e-01, -3.6357683302e-01, -1.3644936295e-02
1.6762341183e-01, -3.6870584236e-01, -1.4237225676e-02
1.7010356538e-01, -3.7382344239e-01, -1.4845032060e-02
1.7258171580e-01, -3.7892970766e-01, -1.5468473190e-02
1.7505747987e-01, -3.8402471275e-01, -1.6107604984e-02
1.7753082756e-01, -3.8910853220e-01, -1.6762537531e-02
1.8000171188e-01, -3.9418124059e-01, -1.7433374743e-02
1.8247012239e-01, -3.9924291246e-01, -1.8120224079e-02
1.8493603955e-01, -4.0429362238e-01, -1.8823188580e-02
1.8739945214e-01, -4.1199343383e-01, -1.9669363146e-02
1.8986034813e-01, -4.1704446163e-01, -2.0409118586e-02
1.9231872139e-01, -4.2204656548e-01, -2.1163457481e-02
1.9477454080e-01, -4.2720595105e-01, -2.1942918258e-02
1.9722781341e-01, -4.3236968032e-01, -2.2740167743e-02
1.9967852669e-01, -4.3739770027e-01, -2.3547811328e-02
2.0000000000e-01, -4.4245745840e-01, -2.3892702754e-02
2.0244779346e-01, -4.4752068067e-01, -2.4727600790e-02
2.0489315081e-01, -4.5246385688e-01, -2.5573510171e-02
2.0733577194e-01, -4.5739602192e-01, -2.6436324552e-02
2.0977559130e-01, -4.6221528138e-01, -2.7310078287e-02
2.1221262340e-01, -4.6703245764e-01, -2.8201137254e-02
2.1464682961e-01, -4.7178116375e-01, -2.9105492755e-02
2.1707826571e-01, -4.7657113950e-01, -3.0029905641e-02
2.1950691883e-01, -4.8152934239e-01, -3.0982805276e-02
2.2193277180e-01, -4.8637940961e-01, -3.1946809835e-02
2.2435592282e-01, -4.9133844127e-01, -3.2936162923e-02
2.2677634722e-01, -4.9639255331e-01, -3.3950451021e-02
2.2919403352e-01, -5.0129817790e-01, -3.4973168592e-02
2.3160868549e-01, -5.0622855016e-01, -3.6016039566e-02
2.3401997653e-01, -5.1117390782e-01, -3.7078451683e-02
2.3642796094e-01, -5.1599018498e-01, -3.8149915650e-02
2.3883270299e-01, -5.2078290720e-01, -3.9237938767e-02
2.4123426989e-01, -5.2548988941e-01, -4.0337746336e-02
2.4363271169e-01, -5.3016312573e-01, -4.1453129154e-02
2.4602806213e-01, -5.3478704598e-01, -4.2582786271e-02
2.4842023641e-01, -5.3944805438e-01, -4.3733552323e-02
2.5080922614e-01, -5.4421313701e-01, -4.4911181349e-02
2.5319514163e-01, -5.4902902283e-01, -4.6111759439e-02
2.5557791310e-01, -5.5394822364e-01, -4.7340043594e-02
2.5795762152e-01, -5.5876402671e-01, -4.8578616872e-02
2.6033374629e-01, -5.6357777042e-01, -4.9835864134e-02
2.6270625174e-01, -5.6838565188e-01, -5.1111478322e-02
2.6507518124e-01, -5.7307836432e-01, -5.2395509750e-02
2.6744060801e-01, -5.7771069929e-01, -5.3692608967e-02
2.6980256938e-01, -5.8233340753e-01, -5.5007358997e-02
2.7216105336e-01, -5.8700563131e-01, -5.6345436069e-02
2.7451643940e-01, -5.9151665512e-01, -5.7686711379e-02
2.7686851153e-01, -5.9603379456e-01, -5.9046981129e-02
2.7921710993e-01, -6.0063474183e-01, -6.0434070473e-02
2.8156255397e-01, -6.0538843278e-01, -6.1855582568e-02
2.8390494211e-01, -6.1013530538e-01, -6.3295766777e-02
2.8624438316e-01, -6.1480988000e-01, -6.4747788519e-02
2.8858116401e-01, -6.1951049166e-01, -6.6221985577e-02
2.9091476762e-01, -6.2403791891e-01, -6.7696700260e-02
2.9324409552e-01, -6.2849454058e-01, -6.9181940517e-02
2.9556911428e-01, -6.3300634404e-01, -7.0691438901e-02
2.9788991773e-01, -6.3741737729e-01, -7.2207850273e-02
3.0000000000e-01, -6.4177631681e-01, -7.3643832354e-02
3.0231291890e-01, -6.4623987062e-01, -7.5201424816e-02
3.0462177086e-01, -6.5076752927e-01, -7.6784863673e-02
3.0692670100e-01, -6.5542889888e-01, -7.8402868613e-02
3.0922779899e-01, -6.5992295817e-01, -8.0019651934e-02
3.1152493866e-01, -6.6443715036e-01, -8.1657383360e-02
3.1381773395e-01, -6.6892733394e-01, -8.3310489758e-02
3.1610635449e-01, -6.7327743225e-01, -8.4964289781e-02
3.1839090561e-01, -6.7767320032e-01, -8.6641892589e-02
3.2067164849e-01, -6.8207233192e-01, -8.8338179535e-02
3.2294839177e-01, -6.8628259138e-01, -9.0027859739e-02
3.2522100151e-01, -6.9044244335e-01, -9.1728315075e-02
3.2749011476e-01, -6.9486176621e-01, -9.3481304332e-02
3.2975576565e-01, -6.9940753255e-01, -9.5270039539e-02
3.3201866316e-01, -7.0378175111e-01, -9.7054448262e-02
3.3427834666e-01, -7.0817075672e-01, -9.8859446520e-02
3.3653490072e-01, -7.1256790153e-01, -1.0068422506e-01
3.3878838378e-01, -7.1675999594e-01, -1.0249838041e-01
3.4103847271e-01, -7.2111835830e-01, -1.0435442738e-01
3.4328312524e-01, -7.2539054272e-01, -1.0621512367e-01
3.4552286178e-01, -7.2954060998e-01, -1.0807495962e-01
3.4775782502e-01, -7.3373656123e-01, -1.0995853603e-01
3.4998817872e-01, -7.3815592155e-01, -1.1189306715e-01
3.5221405197e-01, -7.4260929238e-01, -1.1385072353e-01
3.5443558426e-01, -7.4698491650e-01, -1.1581441499e-01
3.5665299442e-01, -7.5133774477e-01, -1.1779246154e-01
3.5886651852e-01, -7.5559201772e-01, -1.1977285818e-01
3.6107593241e-01, -7.5992691549e-01, -1.2178365553e-01
3.6328191429e-01, -7.6433656633e-01, -1.2382471485e-01
3.6548510843e-01, -7.6857184271e-01, -1.2585601824e-01
3.6768514868e-01, -7.7262290892e-01, -1.2787479588e-01
3.6988219257e-01, -7.7708655566e-01, -1.2997998937e-01
3.7207632225e-01, -7.8159530095e-01, -1.3211170898e-01
3.7426689927e-01, -7.8600997384e-01, -1.3424601625e-01
3.7645378142e-01, -7.9036846477e-01, -1.3638884499e-01
3.7863566443e-01, -7.9460920110e-01, -1.3852830044e-01
3.8081184433e-01, -7.9901386762e-01, -1.4071286126e-01
3.8298268317e-01, -8.0330405006e-01, -1.4289405668e-01
3.8514850716e-01, -8.0742061592e-01, -1.4506081881e-01
3.8730967066e-01, -8.1142644227e-01, -1.4722382031e-01
3.8946642740e-01, -8.1571311526e-01, -1.4945434461e-01
