Time, Y-Force, Work integrand, Mass, Mass error
0.0000000000e+00, +0.0000000000e+00, +0.0000000000e+00, NaN, NaN
1.0000000000e-02, -2.3313130759e-02, -3.6630683899e-06, NaN, NaN
2.0000000000e-02, -4.6293147521e-02, -2.9216919561e-05, NaN, NaN
3.0000000000e-02, -6.8939273897e-02, -9.8063212823e-05, NaN, NaN
4.0000000000e-02, -9.1228804560e-02, -2.3080654596e-04, NaN, NaN
5.0000000000e-02, -1.1316808261e-01, -4.4721498963e-04, NaN, NaN
6.0000000000e-02, -1.3470292713e-01, -7.6594001656e-04, NaN, NaN
7.0000000000e-02, -1.5601603223e-01, -1.2058127172e-03, NaN, NaN
8.0000000000e-02, -1.7696323289e-01, -1.7835368077e-03, NaN, NaN
9.0000000000e-02, -1.9751564194e-01, -2.5146297599e-03, NaN, NaN
1.0000000000e-01, -2.1767794505e-01, -3.4141150154e-03, NaN, NaN
1.1000000000e-01, -2.3754390943e-01, -4.4973643355e-03, NaN, NaN
1.2000000000e-01, -2.5689038753e-01, -5.7741271200e-03, NaN, NaN
1.3000000000e-01, -2.7612229322e-01, -7.2641340531e-03, NaN, NaN
1.4000000000e-01, -2.9502003270e-01, -8.9757314071e-03, NaN, NaN
1.5000000000e-01, -3.1342574525e-01, -1.0915304601e-02, NaN, NaN
1.6000000000e-01, -3.3134980232e-01, -1.3089097317e-02, NaN, NaN
1.7000000000e-01, -3.4900882694e-01, -1.5515428614e-02, NaN, NaN
1.8000000000e-01, -3.6637526540e-01, -1.8199250238e-02, NaN, NaN
1.9000000000e-01, -3.8358559794e-01, -2.1158316712e-02, NaN, NaN
2.0000000000e-01, -4.0010231184e-01, -2.4368655504e-02, NaN, NaN
2.1000000000e-01, -4.1651880077e-01, -2.7866928876e-02, NaN, NaN
2.2000000000e-01, -4.3235317702e-01, -3.1634721766e-02, NaN, NaN
2.3000000000e-01, -4.4783458825e-01, -3.5683860275e-02, NaN, NaN
2.4000000000e-01, -4.6330995155e-01, -4.0041192352e-02, NaN, NaN
2.5000000000e-01, -4.7813972881e-01, -4.4665307430e-02, NaN, NaN
2.6000000000e-01, -4.9251338561e-01, -4.9566390838e-02, NaN, NaN
2.7000000000e-01, -5.0695825216e-01, -5.4800652637e-02, NaN, NaN
2.8000000000e-01, -5.2040347640e-01, -6.0256631154e-02, NaN, NaN
2.9000000000e-01, -5.3406786018e-01, -6.6058366453e-02, NaN, NaN
3.0000000000e-01, -5.4728250278e-01, -7.2142960230e-02, NaN, NaN
3.1000000000e-01, -5.5991942150e-01, -7.8480207241e-02, NaN, NaN
3.2000000000e-01, -5.7253446239e-01, -8.5144899538e-02, NaN, NaN
3.3000000000e-01, -5.8465694255e-01, -9.2055315357e-02, NaN, NaN
3.4000000000e-01, -5.9600204310e-01, -9.9190693050e-02, NaN, NaN
3.5000000000e-01, -6.0744168598e-01, -1.0666496411e-01, NaN, NaN
3.6000000000e-01, -6.1880021168e-01, -1.1442286508e-01, NaN, NaN
3.7000000000e-01, -6.2901742090e-01, -1.2233726037e-01, NaN, NaN
3.8000000000e-01, -6.3957822208e-01, -1.3059801975e-01, NaN, NaN
3.9000000000e-01, -6.4909476780e-01, -1.3898550215e-01, NaN, NaN
4.0000000000e-01, -6.5916228416e-01, -1.4778588092e-01, NaN, NaN
4.1000000000e-01, -6.6811909007e-01, -1.5665475253e-01, NaN, NaN
4.2000000000e-01, -6.7770544719e-01, -1.6594009455e-01, NaN, NaN
4.3000000000e-01, -6.8583088183e-01, -1.7520776596e-01, NaN, NaN
4.4000000000e-01, -6.9385867852e-01, -1.8474441838e-01, NaN, NaN
4.5000000000e-01, -7.0213603255e-01, -1.9462202431e-01, NaN, NaN
4.6000000000e-01, -7.0928291249e-01, -2.0448154308e-01, NaN, NaN
4.7000000000e-01, -7.1654521888e-01, -2.1462286212e-01, NaN, NaN
4.8000000000e-01, -7.2308999814e-01, -2.2485660708e-01, NaN, NaN
4.9000000000e-01, -7.2907656217e-01, -2.3516818254e-01, NaN, NaN
5.0000000000e-01, -7.3546898506e-01, -2.4582041233e-01, NaN, NaN
5.1000000000e-01, -7.4094707547e-01, -2.5643463582e-01, NaN, NaN
5.2000000000e-01, -7.4663510563e-01, -2.6737300714e-01, NaN, NaN
5.3000000000e-01, -7.5162836891e-01, -2.7828035276e-01, NaN, NaN
5.4000000000e-01, -7.5599288019e-01, -2.8923622369e-01, NaN, NaN
5.5000000000e-01, -7.6107778058e-01, -3.0056921913e-01, NaN, NaN
5.6000000000e-01, -7.6417742964e-01, -3.1149114930e-01, NaN, NaN
5.7000000000e-01, -7.6798260264e-01, -3.2280996241e-01, NaN, NaN
5.8000000000e-01, -7.7145438998e-01, -3.3419953016e-01, NaN, NaN
5.9000000000e-01, -7.7334705366e-01, -3.4515143173e-01, NaN, NaN
6.0000000000e-01, -7.7675076070e-01, -3.5685328359e-01, NaN, NaN
6.1000000000e-01, -7.7841462207e-01, -3.6800139160e-01, NaN, NaN
6.2000000000e-01, -7.8024948172e-01, -3.7939892918e-01, NaN, NaN
6.3000000000e-01, -7.8228472826e-01, -3.9099405006e-01, NaN, NaN
6.4000000000e-01, -7.8320805649e-01, -4.0226036157e-01, NaN, NaN
