             Time,          Y-Force,   Work integrand
                0, -4.579799486e-06,                0
             0.01,   0.003977297856, -9.965723746e-06
             0.02,     0.0153297964, -0.0001464967072
             0.03,    0.03330832213, -0.0006809646774
             0.04,    0.05726501807,  -0.001972590218
             0.05,    0.08662765705,  -0.004405810469
             0.06,     0.1208797319,  -0.008342603417
             0.07,     0.1595485194,   -0.01408833436
             0.08,     0.2022058017,   -0.02186981022
             0.09,     0.2484712195,   -0.03182416357
              0.1,     0.2980140602,   -0.04399719283
             0.11,      0.350559987,   -0.05834984639
             0.12,     0.4058925928,   -0.07477106279
             0.13,     0.4638511244,   -0.09309532565
             0.14,     0.5243291925,    -0.1131234927
             0.15,     0.5872713968,    -0.1346453963
             0.16,     0.6526688191,    -0.1574631098
             0.17,     0.7205509197,    -0.1814125512
             0.18,     0.7909683085,    -0.2063788236
             0.19,     0.8639628848,    -0.2323001604
              0.2,     0.9395328753,    -0.2591601294
             0.21,       1.01761209,    -0.2869763601
             0.22,      1.098075717,    -0.3157960361
             0.23,      1.180762215,    -0.3456978584
             0.24,      1.265491486,    -0.3767897302
             0.25,       1.35207425,    -0.4091957761
             0.26,      1.440320593,    -0.4430373915
             0.27,      1.530050254,    -0.4784153218
             0.28,      1.621098867,    -0.5153951881
             0.29,      1.713316017,    -0.5539961655
              0.3,       1.80655517,    -0.5941815052
             0.31,      1.900659845,    -0.6358510001
             0.32,      1.995451806,     -0.678837224
             0.33,      2.090720862,    -0.7229040153
             0.34,      2.186216674,    -0.7677476033
             0.35,      2.281646652,    -0.8130044772
             0.36,      2.376675724,    -0.8582616607
             0.37,      2.470924109,    -0.9030650484
             0.38,      2.563968093,    -0.9469305501
             0.39,      2.655345234,     -0.989358595
              0.4,      2.744561789,     -1.029849015
             0.41,      2.831099533,     -1.067914648
             0.42,      2.914417329,     -1.103089465
             0.43,      2.993949731,     -1.134930815
             0.44,      3.069110859,     -1.163019685
             0.45,      3.139311682,     -1.186968762
             0.46,      3.203989373,     -1.206444531
             0.47,       3.26262226,     -1.221173783
             0.48,      3.314726356,     -1.230930556
             0.49,      3.359860599,     -1.235540854
              0.5,      3.397637287,     -1.234891529
             0.51,       3.42772386,     -1.228915503
             0.52,      3.449843174,     -1.217567775
             0.53,       3.46378185,     -1.200817449
             0.54,      3.469410086,     -1.178669776
             0.55,      3.466698803,      -1.15119316
             0.56,       3.45571655,      -1.11851268
             0.57,      3.436616042,     -1.080784497
             0.58,      3.409629724,     -1.038188078
             0.59,        3.3750696,    -0.9909278718
              0.6,      3.333323219,    -0.9392307802
             0.61,      3.284852748,    -0.8833564538
             0.62,      3.230189106,    -0.8235999726
             0.63,      3.169906474,    -0.7602494717
             0.64,      3.104598796,    -0.6935517265
             0.65,      3.034888904,    -0.6237641773
             0.66,      2.961446918,    -0.5512334669
             0.67,      2.884970109,    -0.4763706052
             0.68,      2.806133981,    -0.3995427811
             0.69,      2.725569734,    -0.3210323718
