             Time,          Y-Force,   Work integrand
                0,  1.204449194e-05,                0
            0.004,  0.0006654318591, -2.704994897e-07
            0.008,    0.00257687935,  -4.15318341e-06
            0.012,   0.005693758947, -2.030726907e-05
            0.016,   0.009964224953, -6.204671485e-05
             0.02,     0.0153393655, -0.0001464524753
            0.024,    0.02177341191, -0.0002935510139
            0.028,    0.02922336776, -0.0005255589613
            0.032,    0.03764797376, -0.0008661913065
            0.036,    0.04700844215,  -0.001340042796
             0.04,    0.05726850926,  -0.001972031558
            0.044,    0.06839259203,  -0.002786887678
            0.048,    0.08034633885,   -0.00380871374
            0.052,      0.093097305,  -0.005060610229
            0.056,     0.1066139529,  -0.006564330231
             0.06,     0.1208658237,  -0.008339997198
            0.064,     0.1358235548,   -0.01040587477
            0.068,     0.1514587103,   -0.01277817177
            0.072,     0.1677440778,   -0.01547090182
            0.076,     0.1846537052,   -0.01849578582
             0.08,     0.2021628147,   -0.02186218705
            0.084,      0.220247877,   -0.02557708801
            0.088,     0.2388867005,   -0.02964510489
            0.092,     0.2580584875,   -0.03406853307
            0.096,     0.2777438754,   -0.03884742428
              0.1,     0.2979249329,   -0.04397969028
            0.104,     0.3185851607,   -0.04946122811
            0.108,     0.3397095347,    -0.0552860708
            0.112,     0.3612845233,   -0.06144656172
            0.116,     0.3832980489,   -0.06793354192
             0.12,     0.4057394511,   -0.07473654674
            0.124,      0.428599479,   -0.08184401492
            0.128,     0.4518702824,   -0.08924351229
            0.132,      0.475545382,   -0.09692196536
            0.136,     0.4996196156,    -0.1048658979
             0.14,     0.5240890745,    -0.1130616654
            0.144,     0.5489510577,    -0.1214956854
            0.148,     0.5742040467,    -0.1301546723
            0.152,     0.5998476629,    -0.1390258762
            0.156,     0.6258825843,    -0.1480973179
             0.16,     0.6523104458,    -0.1573580051
            0.164,     0.6791337492,    -0.1667981282
            0.168,     0.7063557808,    -0.1764092396
            0.172,     0.7339804581,    -0.1861844033
            0.176,     0.7620120278,    -0.1961182764
             0.18,     0.7904545604,    -0.2062070669
            0.184,     0.8193112833,    -0.2164483444
            0.188,     0.8485838768,    -0.2268407383
            0.192,     0.8782719191,     -0.237383624
            0.196,     0.9083726602,    -0.2480769169
              0.2,     0.9388811909,    -0.2589210545
            0.204,     0.9697909029,    -0.2699171441
            0.208,      1.001094016,    -0.2810671664
            0.212,      1.032781959,    -0.2923741213
            0.216,      1.064845523,    -0.3038420653
             0.22,      1.097274869,    -0.3154760543
            0.224,      1.130059488,    -0.3272820341
            0.228,       1.16318821,    -0.3392667032
            0.232,      1.196649287,    -0.3514373634
            0.236,      1.230430545,    -0.3638017656
             0.24,       1.26451956,    -0.3763679519
            0.244,      1.298903829,    -0.3891440945
            0.248,      1.333570927,    -0.4021383171
            0.252,      1.368508632,    -0.4153585062
            0.256,      1.403705038,    -0.4288121213
             0.26,      1.439148652,    -0.4425060139
            0.264,      1.474828442,    -0.4564462599
            0.268,      1.510733846,    -0.4706380068
            0.272,      1.546854729,      -0.48508534
            0.276,       1.58318133,    -0.4997911697
             0.28,      1.619704171,    -0.5147571315
            0.284,      1.656413969,    -0.5299834927
            0.288,      1.693301528,    -0.5454690615
            0.292,      1.730357611,    -0.5612111057
            0.296,      1.767572804,    -0.5772052863
              0.3,      1.804937368,    -0.5934456053
            0.304,      1.842441085,    -0.6099243604
            0.308,      1.880073113,    -0.6266321049
            0.312,      1.917821861,    -0.6435576152
            0.316,        1.9556749,    -0.6606878769
             0.32,      1.993618918,    -0.6780080998
            0.324,       2.03163972,    -0.6955017683
            0.328,      2.069722191,    -0.7131507116
            0.332,      2.107850239,    -0.7309351673
            0.336,      2.146006691,    -0.7488338229
             0.34,      2.184173218,     -0.766823848
            0.344,       2.22233032,     -0.784880954
            0.348,      2.260457369,    -0.8029794971
            0.352,      2.298532642,    -0.8210926142
            0.356,      2.336533332,    -0.8391923601
             0.36,      2.374435515,    -0.8572498361
            0.364,      2.412214141,     -0.875235312
            0.368,      2.449843052,    -0.8931183547
            0.372,       2.48729503,    -0.9108679532
            0.376,       2.52454184,    -0.9284526264
             0.38,      2.561554277,    -0.9458405215
            0.384,      2.598302215,    -0.9629995208
            0.388,      2.634754639,    -0.9798973804
            0.392,       2.67087968,    -0.9965018885
            0.396,      2.706644632,     -1.012781031
              0.4,      2.742015996,     -1.028703132
            0.404,      2.776959547,     -1.044236957
            0.408,      2.811440432,     -1.059351786
            0.412,      2.845423253,     -1.074017459
            0.416,      2.878872149,     -1.088204433
             0.42,      2.911750901,      -1.10188389
            0.424,      2.944023061,     -1.115027892
            0.428,      2.975652078,     -1.127609522
            0.432,       3.00660139,     -1.139602953
            0.436,       3.03683447,     -1.150983432
             0.44,      3.066314887,     -1.161727234
            0.444,      3.095006391,      -1.17181164
            0.448,      3.122873035,     -1.181214967
            0.452,      3.149879289,     -1.189916629
            0.456,      3.175990129,      -1.19789721
             0.46,      3.201171114,       -1.2051385
            0.464,      3.225388472,     -1.211623513
            0.468,      3.248609263,      -1.21733649
            0.472,      3.270801584,     -1.222262907
            0.476,       3.29193476,     -1.226389486
             0.48,      3.311979464,     -1.229704185
            0.484,      3.330907738,     -1.232196176
            0.488,      3.348692948,     -1.233855795
            0.492,      3.365309756,     -1.234674519
            0.496,      3.380734202,     -1.234644954
              0.5,      3.394943861,     -1.233760861
            0.504,      3.407918068,     -1.232017195
            0.508,      3.419638088,     -1.229410143
            0.512,      3.430087212,     -1.225937136
