                Time,             Y-Force,      Work integrand,                Mass,           Mass error
    0.0000000000E+00,   -3.3998668104E-07,    0.0000000000E+00,                 NaN,                  NaN
    4.9647741100E-05,   -1.6044035575E-07,   -1.1156540121E-14,                 NaN,                  NaN
    1.4894322300E-04,    8.6857089313E-07,   -7.1661918721E-13,                 NaN,                  NaN
    3.4552828700E-04,    5.0820347653E-06,   -1.7545094005E-11,                 NaN,                  NaN
    7.2328819900E-04,    2.1984876420E-05,   -3.1265076506E-10,                 NaN,                  NaN
    1.4154227400E-03,    8.3164022713E-05,   -4.4116821762E-09,                 NaN,                  NaN
    2.6068785800E-03,    2.7890499062E-04,   -4.9443814545E-08,                 NaN,                  NaN
    4.5136523700E-03,    8.2758812670E-04,   -4.3410652014E-07,                 NaN,                  NaN
    7.3350145500E-03,    2.1597399773E-03,   -2.9481193437E-06,                 NaN,                  NaN
    1.1194297900E-02,    4.9562229572E-03,   -1.5470884373E-05,                 NaN,                  NaN
    1.6098938800E-02,    1.0066954549E-02,   -6.3504863559E-05,                 NaN,                  NaN
    2.1942636500E-02,    1.8314664389E-02,   -2.0863245322E-04,                 NaN,                  NaN
    2.8545562700E-02,    3.0291377757E-02,   -5.6484190250E-04,                 NaN,                  NaN
    3.5707338400E-02,    4.6262394436E-02,   -1.2998055218E-03,                 NaN,                  NaN
    4.3248190600E-02,    6.6199210731E-02,   -2.6176554178E-03,                 NaN,                  NaN
    5.1028676300E-02,    8.9881858133E-02,   -4.7324715003E-03,                 NaN,                  NaN
    5.8951666600E-02,    1.1700283701E-01,   -7.8442889387E-03,                 NaN,                  NaN
    6.6954950300E-02,    1.4723914433E-01,   -1.2123323093E-02,                 NaN,                  NaN
    7.5001316500E-02,    1.8029012532E-01,   -1.7701968689E-02,                 NaN,                  NaN
    8.3069770300E-02,    2.1589189903E-01,   -2.4671902408E-02,                 NaN,                  NaN
    9.1149066600E-02,    2.5381958069E-01,   -3.3084114328E-02,                 NaN,                  NaN
    9.9233465300E-02,    2.9388459427E-01,   -4.2950708838E-02,                 NaN,                  NaN
    1.0732016700E-01,    3.3593164955E-01,   -5.4248285399E-02,                 NaN,                  NaN
    1.1540786800E-01,    3.7983425532E-01,   -6.6922293646E-02,                 NaN,                  NaN
    1.2349598300E-01,    4.2549382868E-01,   -8.0893172499E-02,                 NaN,                  NaN
    1.3158426400E-01,    4.7283709094E-01,   -9.6062787675E-02,                 NaN,                  NaN
    1.3967260800E-01,    5.2181360256E-01,   -1.1232178895E-01,                 NaN,                  NaN
    1.4776097600E-01,    5.7239363108E-01,   -1.2955818769E-01,                 NaN,                  NaN
    1.5584935200E-01,    6.2456970611E-01,   -1.4766403220E-01,                 NaN,                  NaN
    1.6393773000E-01,    6.7835191975E-01,   -1.6654440171E-01,                 NaN,                  NaN
    1.7202611000E-01,    7.3376071468E-01,   -1.8612399871E-01,                 NaN,                  NaN
    1.8011449000E-01,    7.9082702268E-01,   -2.0635065311E-01,                 NaN,                  NaN
    1.8820287000E-01,    8.4958934728E-01,   -2.2720086842E-01,                 NaN,                  NaN
    1.9629125000E-01,    9.1004806399E-01,   -2.4866597338E-01,                 NaN,                  NaN
    2.0437963000E-01,    9.7216233247E-01,   -2.7074489343E-01,                 NaN,                  NaN
    2.1246801000E-01,    1.0358804954E+00,   -2.9345367891E-01,                 NaN,                  NaN
    2.2055639000E-01,    1.1011353157E+00,   -3.1682600803E-01,                 NaN,                  NaN
    2.2864477000E-01,    1.1678336930E+00,   -3.4090317512E-01,                 NaN,                  NaN
    2.3673315000E-01,    1.2358759487E+00,   -3.6574114224E-01,                 NaN,                  NaN
    2.4482153000E-01,    1.3051694069E+00,   -3.9141170824E-01,                 NaN,                  NaN
    2.5290991000E-01,    1.3756115449E+00,   -4.1798403648E-01,                 NaN,                  NaN
    2.6099829000E-01,    1.4471037872E+00,   -4.4551647955E-01,                 NaN,                  NaN
    2.6908667000E-01,    1.5195511049E+00,   -4.7405959791E-01,                 NaN,                  NaN
    2.7717505000E-01,    1.5928661313E+00,   -5.0364938514E-01,                 NaN,                  NaN
    2.8526343000E-01,    1.6669725501E+00,   -5.3430056035E-01,                 NaN,                  NaN
    2.9335181000E-01,    1.7417944712E+00,   -5.6600767306E-01,                 NaN,                  NaN
    3.0144019100E-01,    1.8172546889E+00,   -5.9873938072E-01,                 NaN,                  NaN
    3.0952857100E-01,    1.8932712295E+00,   -6.3243294890E-01,                 NaN,                  NaN
    3.1761695100E-01,    1.9697464413E+00,   -6.6699517228E-01,                 NaN,                  NaN
    3.2570533100E-01,    2.0465695183E+00,   -7.0230490029E-01,                 NaN,                  NaN
    3.3379371100E-01,    2.1236178501E+00,   -7.3821374124E-01,                 NaN,                  NaN
    3.4188209100E-01,    2.2007477883E+00,   -7.7454596496E-01,                 NaN,                  NaN
    3.4997047100E-01,    2.2777982644E+00,   -8.1110345270E-01,                 NaN,                  NaN
    3.5805885100E-01,    2.3545939088E+00,   -8.4766800970E-01,                 NaN,                  NaN
    3.6614723100E-01,    2.4309383673E+00,   -8.8399966355E-01,                 NaN,                  NaN
    3.7423561100E-01,    2.5066146276E+00,   -9.1984386786E-01,                 NaN,                  NaN
    3.8232399100E-01,    2.5813878529E+00,   -9.5494052827E-01,                 NaN,                  NaN
    3.9041237100E-01,    2.6550057380E+00,   -9.8902525972E-01,                 NaN,                  NaN
    3.9850075100E-01,    2.7272035659E+00,   -1.0218322635E+00,                 NaN,                  NaN
    4.0658913100E-01,    2.7977076300E+00,   -1.0531016145E+00,                 NaN,                  NaN
    4.1467751100E-01,    2.8662311086E+00,   -1.0825820140E+00,                 NaN,                  NaN
    4.2276589100E-01,    2.9324755266E+00,   -1.1100307640E+00,                 NaN,                  NaN
    4.3085427100E-01,    2.9961411017E+00,   -1.1352178873E+00,                 NaN,                  NaN
    4.3894265100E-01,    3.0569291827E+00,   -1.1579300019E+00,                 NaN,                  NaN
    4.4703103100E-01,    3.1145355002E+00,   -1.1779701342E+00,                 NaN,                  NaN
    4.5511941100E-01,    3.1686548923E+00,   -1.1951607703E+00,                 NaN,                  NaN
    4.6320779100E-01,    3.2189983322E+00,   -1.2093483703E+00,                 NaN,                  NaN
    4.7129617100E-01,    3.2652993119E+00,   -1.2204001311E+00,                 NaN,                  NaN
    4.7938455200E-01,    3.3073039292E+00,   -1.2281963355E+00,                 NaN,                  NaN
    4.8747293200E-01,    3.3447665334E+00,   -1.2326321066E+00,                 NaN,                  NaN
    4.9556131200E-01,    3.3774607701E+00,   -1.2336257836E+00,                 NaN,                  NaN
    5.0364969200E-01,    3.4051941873E+00,   -1.2311247216E+00,                 NaN,                  NaN
    5.1173807200E-01,    3.4278106524E+00,   -1.2251020828E+00,                 NaN,                  NaN
    5.1982645200E-01,    3.4451844850E+00,   -1.2155502781E+00,                 NaN,                  NaN
    5.2791483200E-01,    3.4572139899E+00,   -1.2024669118E+00,                 NaN,                  NaN
    5.3600321200E-01,    3.4638282364E+00,   -1.1858564138E+00,                 NaN,                  NaN
    5.4409159200E-01,    3.4649990540E+00,   -1.1657476082E+00,                 NaN,                  NaN
    5.5217997200E-01,    3.4607422751E+00,   -1.1422033963E+00,                 NaN,                  NaN
    5.6026835200E-01,    3.4511071479E+00,   -1.1153036210E+00,                 NaN,                  NaN
    5.6835673200E-01,    3.4361716493E+00,   -1.0851259437E+00,                 NaN,                  NaN
    5.7644511200E-01,    3.4160477339E+00,   -1.0517485450E+00,                 NaN,                  NaN
    5.8453349200E-01,    3.3908846415E+00,   -1.0152615554E+00,                 NaN,                  NaN
    5.9262187200E-01,    3.3608762552E+00,   -9.7579354982E-01,                 NaN,                  NaN
    6.0071025200E-01,    3.3262538865E+00,   -9.3349601149E-01,                 NaN,                  NaN
    6.0879863200E-01,    3.2872683352E+00,   -8.8850400115E-01,                 NaN,                  NaN
    6.1688701200E-01,    3.2441870326E+00,   -8.4094268190E-01,                 NaN,                  NaN
    6.2497539200E-01,    3.1972947008E+00,   -7.9093797334E-01,                 NaN,                  NaN
    6.3306377200E-01,    3.1468988321E+00,   -7.3863446234E-01,                 NaN,                  NaN
    6.4115215200E-01,    3.0933323489E+00,   -6.8420195057E-01,                 NaN,                  NaN
    6.4924053200E-01,    3.0369399084E+00,   -6.2780500595E-01,                 NaN,                  NaN
    6.5732891200E-01,    2.9780679618E+00,   -5.6959493357E-01,                 NaN,                  NaN
    6.6541729300E-01,    2.9170693135E+00,   -5.0973775705E-01,                 NaN,                  NaN
    6.7350567300E-01,    2.8543064345E+00,   -4.4843248955E-01,                 NaN,                  NaN
    6.8159405300E-01,    2.7901432661E+00,   -3.8589446773E-01,                 NaN,                  NaN
    6.8968243300E-01,    2.7249330420E+00,   -3.2232973009E-01,                 NaN,                  NaN
    6.9777081300E-01,    2.6590000237E+00,   -2.5789161505E-01,                 NaN,                  NaN
    7.0585919300E-01,    2.5926536930E+00,   -1.9273689788E-01,                 NaN,                  NaN
    7.1394757300E-01,    2.5262092436E+00,   -1.2708768066E-01,                 NaN,                  NaN
    7.2203595300E-01,    2.4599762691E+00,   -6.1196834403E-02,                 NaN,                  NaN
    7.3012433300E-01,    2.3942492484E+00,    4.6791105312E-03,                 NaN,                  NaN
    7.3821271300E-01,    2.3292885350E+00,    7.0327507943E-02,                 NaN,                  NaN
    7.4630109300E-01,    2.2653189527E+00,    1.3555735610E-01,                 NaN,                  NaN
    7.5438947300E-01,    2.2025391584E+00,    2.0016156961E-01,                 NaN,                  NaN
    7.6247785300E-01,    2.1411304380E+00,    2.6389779719E-01,                 NaN,                  NaN
    7.7056623300E-01,    2.0812532877E+00,    3.2651639580E-01,                 NaN,                  NaN
    7.7865461300E-01,    2.0230418509E+00,    3.8778617631E-01,                 NaN,                  NaN
    7.8674299300E-01,    1.9666092869E+00,    4.4747013771E-01,                 NaN,                  NaN
    7.9483137300E-01,    1.9120545186E+00,    5.0528578170E-01,                 NaN,                  NaN
    8.0291975300E-01,    1.8594541987E+00,    5.6092598293E-01,                 NaN,                  NaN
    8.1100813300E-01,    1.8088513989E+00,    6.1411340623E-01,                 NaN,                  NaN
    8.1909651300E-01,    1.7602531451E+00,    6.6463777660E-01,                 NaN,                  NaN
    8.2718489300E-01,    1.7136433969E+00,    7.1232209923E-01,                 NaN,                  NaN
    8.3527327300E-01,    1.6689952229E+00,    7.5697939007E-01,                 NaN,                  NaN
    8.4336165400E-01,    1.6262750860E+00,    7.9839848247E-01,                 NaN,                  NaN
    8.5145003400E-01,    1.5854409981E+00,    8.3636063222E-01,                 NaN,                  NaN
    8.5953841400E-01,    1.5464386037E+00,    8.7067355432E-01,                 NaN,                  NaN
    8.6762679400E-01,    1.5092038677E+00,    9.0117449602E-01,                 NaN,                  NaN
    8.7571517400E-01,    1.4736714384E+00,    9.2771186312E-01,                 NaN,                  NaN
    8.8380355400E-01,    1.4397784763E+00,    9.5013322942E-01,                 NaN,                  NaN
    8.9189193400E-01,    1.4074602183E+00,    9.6830502993E-01,                 NaN,                  NaN
    8.9998031400E-01,    1.3766428811E+00,    9.8215540391E-01,                 NaN,                  NaN
    9.0806869400E-01,    1.3472445484E+00,    9.9169237456E-01,                 NaN,                  NaN
    9.1615707400E-01,    1.3191866441E+00,    9.9697445012E-01,                 NaN,                  NaN
    9.2424545400E-01,    1.2924041436E+00,    9.9806419240E-01,                 NaN,                  NaN
    9.3233383400E-01,    1.2668425318E+00,    9.9500752951E-01,                 NaN,                  NaN
    9.4042221400E-01,    1.2424452783E+00,    9.8784184377E-01,                 NaN,                  NaN
    9.4851059400E-01,    1.2191449410E+00,    9.7662240096E-01,                 NaN,                  NaN
    9.5659897400E-01,    1.1968652326E+00,    9.6144389498E-01,                 NaN,                  NaN
    9.6468735400E-01,    1.1755275532E+00,    9.4243858919E-01,                 NaN,                  NaN
    9.7277573400E-01,    1.1550530272E+00,    9.1976233246E-01,                 NaN,                  NaN
    9.8086411400E-01,    1.1353598650E+00,    8.9357416752E-01,                 NaN,                  NaN
    9.8895249400E-01,    1.1163615133E+00,    8.6402774159E-01,                 NaN,                  NaN
    9.9704087400E-01,    1.0979682553E+00,    8.3127838886E-01,                 NaN,                  NaN
    1.0051292500E+00,    1.0800902590E+00,    7.9549388088E-01,                 NaN,                  NaN
    1.0132176300E+00,    1.0626383034E+00,    7.5685549041E-01,                 NaN,                  NaN
    1.0213060100E+00,    1.0455247020E+00,    7.1555213544E-01,                 NaN,                  NaN
    1.0293943900E+00,    1.0286645125E+00,    6.7176820505E-01,                 NaN,                  NaN
    1.0374827700E+00,    1.0119735500E+00,    6.2566376327E-01,                 NaN,                  NaN
    1.0455711500E+00,    9.9535914395E-01,    5.7735293883E-01,                 NaN,                  NaN
    1.0536595300E+00,    9.7870904146E-01,    5.2689691645E-01,                 NaN,                  NaN
    1.0617479100E+00,    9.6189089652E-01,    4.7432496695E-01,                 NaN,                  NaN
    1.0698362900E+00,    9.4476588136E-01,    4.1967765478E-01,                 NaN,                  NaN
    1.0779246700E+00,    9.2720774909E-01,    3.6303623465E-01,                 NaN,                  NaN
    1.0860130500E+00,    9.0910639933E-01,    3.0449351477E-01,                 NaN,                  NaN
    1.0941014300E+00,    8.9035266531E-01,    2.4407891674E-01,                 NaN,                  NaN
