                Time,             Y-Force,      Work integrand,                Mass,           Mass error
    0.0000000000E+00,    1.0034525237E-05,    0.0000000000E+00,                 NaN,                  NaN
    3.1250000000E-02,    3.6078088345E-02,   -7.9329738796E-04,                 NaN,                  NaN
    6.2500000000E-02,    1.2987906520E-01,   -9.5875904182E-03,                 NaN,                  NaN
    9.3750000000E-02,    2.6642870970E-01,   -3.6099616203E-02,                 NaN,                  NaN
    1.2500000000E-01,    4.3435693147E-01,   -8.3710049769E-02,                 NaN,                  NaN
    1.5625000000E-01,    6.2775224424E-01,   -1.4893965426E-01,                 NaN,                  NaN
    1.8750000000E-01,    8.4495614529E-01,   -2.2611933440E-01,                 NaN,                  NaN
    2.1875000000E-01,    1.0859191120E+00,   -3.1233273427E-01,                 NaN,                  NaN
    2.5000000000E-01,    1.3491806648E+00,   -4.0899780067E-01,                 NaN,                  NaN
    2.8125000000E-01,    1.6304306527E+00,   -5.1948040912E-01,                 NaN,                  NaN
    3.1250000000E-01,    1.9235626238E+00,   -6.4525561108E-01,                 NaN,                  NaN
    3.4375000000E-01,    2.2218505904E+00,   -7.8299037071E-01,                 NaN,                  NaN
    3.7500000000E-01,    2.5170547509E+00,   -9.2340427448E-01,                 NaN,                  NaN
    4.0625000000E-01,    2.7977754411E+00,   -1.0526524269E+00,                 NaN,                  NaN
    4.3750000000E-01,    3.0490094265E+00,   -1.1555810935E+00,                 NaN,                  NaN
    4.6875000000E-01,    3.2535936293E+00,   -1.2189597689E+00,                 NaN,                  NaN
    5.0000000000E-01,    3.3953323009E+00,   -1.2338344601E+00,                 NaN,                  NaN
    5.3125000000E-01,    3.4622915792E+00,   -1.1963357662E+00,                 NaN,                  NaN
    5.6250000000E-01,    3.4492094280E+00,   -1.1071112292E+00,                 NaN,                  NaN
    5.9375000000E-01,    3.3585366342E+00,   -9.7006681979E-01,                 NaN,                  NaN
    6.2500000000E-01,    3.2000069528E+00,   -7.9104668165E-01,                 NaN,                  NaN
    6.5625000000E-01,    2.9894031353E+00,   -5.7769817983E-01,                 NaN,                  NaN
    6.8750000000E-01,    2.7463634210E+00,   -3.3980629204E-01,                 NaN,                  NaN
    7.1875000000E-01,    2.4910634724E+00,   -8.8519529905E-02,                 NaN,                  NaN
    7.5000000000E-01,    2.2410732813E+00,    1.6442337386E-01,                 NaN,                  NaN
    7.8125000000E-01,    2.0094518618E+00,    4.0643999753E-01,                 NaN,                  NaN
    8.1250000000E-01,    1.8040679759E+00,    6.2369395684E-01,                 NaN,                  NaN
    8.4375000000E-01,    1.6278363894E+00,    8.0172579868E-01,                 NaN,                  NaN
    8.7500000000E-01,    1.4797034982E+00,    9.2755894939E-01,                 NaN,                  NaN
    9.0625000000E-01,    1.3562551577E+00,    9.9225747352E-01,                 NaN,                  NaN
    9.3750000000E-01,    1.2533063044E+00,    9.9288724202E-01,                 NaN,                  NaN
    9.6875000000E-01,    1.1667471809E+00,    9.3277056185E-01,                 NaN,                  NaN
    1.0000000000E+00,    1.0924553542E+00,    8.1934151568E-01,                 NaN,                  NaN
    1.0312500000E+00,    1.0257125443E+00,    6.6157259678E-01,                 NaN,                  NaN
    1.0625000000E+00,    9.6094258124E-01,    4.6822601370E-01,                 NaN,                  NaN
    1.0937500000E+00,    8.9194410259E-01,    2.4515755810E-01,                 NaN,                  NaN
    1.1250000000E+00,    8.1130173006E-01,   -9.0594148172E-03,                 NaN,                  NaN
    1.1562500000E+00,    7.0948741149E-01,   -3.0570361456E-01,                 NaN,                  NaN
    1.1875000000E+00,    5.7374474654E-01,   -6.6603659237E-01,                 NaN,                  NaN
    1.2187500000E+00,    3.8923361208E-01,   -1.1132999164E+00,                 NaN,                  NaN
    1.2500000000E+00,    1.4205756060E-01,   -1.6597927567E+00,                 NaN,                  NaN
    1.2812500000E+00,   -1.7682417980E-01,   -2.2968778257E+00,                 NaN,                  NaN
    1.3125000000E+00,   -5.6832003388E-01,   -2.9950138441E+00,                 NaN,                  NaN
    1.3437500000E+00,   -1.0240209062E+00,   -3.7115059942E+00,                 NaN,                  NaN
    1.3750000000E+00,   -1.5262874358E+00,   -4.3952766154E+00,                 NaN,                  NaN
    1.4062500000E+00,   -2.0495705963E+00,   -4.9913398761E+00,                 NaN,                  NaN
    1.4375000000E+00,   -2.5624081290E+00,   -5.4464768398E+00,                 NaN,                  NaN
    1.4687500000E+00,   -3.0308232220E+00,   -5.7199243249E+00,                 NaN,                  NaN
    1.5000000000E+00,   -3.4196196906E+00,   -5.7881608575E+00,                 NaN,                  NaN
    1.5312500000E+00,   -3.6980983781E+00,   -5.6443900693E+00,                 NaN,                  NaN
    1.5625000000E+00,   -3.8452520901E+00,   -5.2985505579E+00,                 NaN,                  NaN
    1.5937500000E+00,   -3.8506755426E+00,   -4.7760476022E+00,                 NaN,                  NaN
    1.6250000000E+00,   -3.7136102602E+00,   -4.1156031876E+00,                 NaN,                  NaN
    1.6562500000E+00,   -3.4412961106E+00,   -3.3663862192E+00,                 NaN,                  NaN
    1.6875000000E+00,   -3.0494721387E+00,   -2.5833543769E+00,                 NaN,                  NaN
    1.7187500000E+00,   -2.5614699645E+00,   -1.8226896103E+00,                 NaN,                  NaN
    1.7500000000E+00,   -2.0047217300E+00,   -1.1363328740E+00,                 NaN,                  NaN
    1.7812500000E+00,   -1.4080018381E+00,   -5.6446204113E-01,                 NaN,                  NaN
    1.8125000000E+00,   -7.9897346130E-01,   -1.3052688287E-01,                 NaN,                  NaN
    1.8437500000E+00,   -2.0228555857E-01,    1.5904236419E-01,                 NaN,                  NaN
    1.8750000000E+00,    3.5868984092E-01,    3.1170246844E-01,                 NaN,                  NaN
    1.9062500000E+00,    8.6108949882E-01,    3.4556154613E-01,                 NaN,                  NaN
    1.9375000000E+00,    1.2860789634E+00,    2.8630200554E-01,                 NaN,                  NaN
    1.9687500000E+00,    1.6215910372E+00,    1.6243394875E-01,                 NaN,                  NaN
    2.0000000000E+00,    1.8612787583E+00,    0.0000000000E+00,                 NaN,                  NaN
                 NaN,    9.0330986881E-01,   -2.2828283237E+00,                 NaN,                  NaN
