                Time,             Y-Force,      Work integrand,                Mass,           Mass error
    0.0000000000E+00,   -4.7950682731E-06,    0.0000000000E+00,    7.8540028040E-01,                  NaN
    9.7656250000E-04,   -1.4872449152E-05,   -5.4958154549E-11,    7.8540028040E-01,                  NaN
    1.9531250000E-03,   -6.1389566993E-05,   -6.9762385035E-10,    7.8540028040E-01,                  NaN
    2.9296875000E-03,   -1.2830250512E-04,   -3.0206732313E-09,    7.8540028040E-01,                  NaN
    3.9062500000E-03,   -2.2180182893E-04,   -8.7313735891E-09,    7.8540028040E-01,                  NaN
    4.8828125000E-03,   -3.4048592162E-04,   -2.0047607403E-08,    7.8540028040E-01,                  NaN
    5.8593750000E-03,   -4.8349638649E-04,   -3.9685048819E-08,    7.8540028040E-01,                  NaN
    6.8359375000E-03,   -6.5222349870E-04,   -7.0947977586E-08,    7.8540028040E-01,                  NaN
    7.8125000000E-03,   -8.4600275050E-04,   -1.1758929038E-07,    7.8540028040E-01,                  NaN
    8.7890625000E-03,   -1.0644132985E-03,   -1.8384916808E-07,    7.8540028040E-01,                  NaN
    9.7656250000E-03,   -1.3080772464E-03,   -2.7454284574E-07,    7.8540028040E-01,                  NaN
    1.0742187500E-02,   -1.5770138323E-03,   -3.9495542769E-07,    7.8540028040E-01,                  NaN
    1.1718750000E-02,   -1.8709015584E-03,   -5.5081979414E-07,    7.8540028040E-01,                  NaN
    1.2695312500E-02,   -2.1898627072E-03,   -7.4839553175E-07,    7.8540028040E-01,                  NaN
    1.3671875000E-02,   -2.5340853819E-03,   -9.9444540284E-07,    7.8540028040E-01,                  NaN
    1.4648437500E-02,   -2.9036762373E-03,   -1.2962485420E-06,    7.8540028040E-01,                  NaN
    1.5625000000E-02,   -3.2989520737E-03,   -1.6616739749E-06,    7.8540028040E-01,                  NaN
    1.6601562500E-02,   -3.7196654061E-03,   -2.0988615786E-06,    7.8540028040E-01,                  NaN
    1.7578125000E-02,   -4.1638382927E-03,   -2.6155647634E-06,    7.8540028040E-01,                  NaN
    1.8554687500E-02,   -4.6289632335E-03,   -3.2193666964E-06,    7.8540028040E-01,                  NaN
