                Time,             Y-Force,      Work integrand,                Mass,           Mass error
    0.0000000000E+00,    9.3283656535E-03,    0.0000000000E+00,    7.8540354689E-01,                  NaN
    1.9531250000E-03,    3.5009982957E-03,    1.6999858781E-08,    7.8540354689E-01,                  NaN
    3.9062500000E-03,    1.7048417038E-05,    9.6315019423E-10,    7.8540354689E-01,                  NaN
    5.8593750000E-03,   -2.8280734149E-05,   -1.0961268063E-08,    7.8540354689E-01,                  NaN
    7.8125000000E-03,    8.1337615853E-04,   -5.0142934841E-09,    7.8540354689E-01,                  NaN
    9.7656250000E-03,    1.0215909335E-03,   -6.2290307521E-08,    7.8540354689E-01,                  NaN
    1.1718750000E-02,    9.6221987366E-04,   -1.3861352285E-07,    7.8540354689E-01,                  NaN
    1.3671875000E-02,    1.8049711127E-03,    8.8783058700E-08,    7.8540354689E-01,                  NaN
    1.5625000000E-02,    3.9640181340E-03,    9.4531268109E-07,    7.8540354689E-01,                  NaN
    1.7578125000E-02,    6.5430273604E-03,    2.2614352544E-06,    7.8540354689E-01,                  NaN
    1.9531250000E-02,    8.1009214650E-03,    3.2475143214E-06,    7.8540354689E-01,                  NaN
    2.1484375000E-02,    7.7172387532E-03,    2.9042173362E-06,    7.8540354689E-01,                  NaN
    2.3437500000E-02,    5.4057154767E-03,    5.4999849607E-07,    7.8540354689E-01,                  NaN
    2.5390625000E-02,    1.8290202097E-03,   -3.9465404725E-06,    7.8540354689E-01,                  NaN
    2.7343750000E-02,   -2.2006457607E-03,   -1.0263498941E-05,    7.8540354689E-01,                  NaN
    2.9296875000E-02,   -6.0494530140E-03,   -1.7853360059E-05,    7.8540354689E-01,                  NaN
    3.1250000000E-02,   -9.3485282097E-03,   -2.6135750371E-05,    7.8540354689E-01,                  NaN
    3.3203125000E-02,   -1.1953283112E-02,   -3.4617319334E-05,    7.8540354689E-01,                  NaN
    3.5156250000E-02,   -1.3885657469E-02,   -4.2973099487E-05,    7.8540354689E-01,                  NaN
    3.7109375000E-02,   -1.5289842457E-02,   -5.1111098191E-05,    7.8540354689E-01,                  NaN
    3.9062500000E-02,   -1.6386819133E-02,   -5.9203971898E-05,    7.8540354689E-01,                  NaN
    4.1015625000E-02,   -1.7422267239E-02,   -6.7670258612E-05,    7.8540354689E-01,                  NaN
    4.2968750000E-02,   -1.8621749054E-02,   -7.7116797617E-05,    7.8540354689E-01,                  NaN
    4.4921875000E-02,   -2.0164530604E-02,   -8.8267555615E-05,    7.8540354689E-01,                  NaN
    4.6875000000E-02,   -2.2173202392E-02,   -1.0189065289E-04,    7.8540354689E-01,                  NaN
    4.8828125000E-02,   -2.4711432713E-02,   -1.1872511351E-04,    7.8540354689E-01,                  NaN
    5.0781250000E-02,   -2.7787737476E-02,   -1.3941804217E-04,    7.8540354689E-01,                  NaN
    5.2734375000E-02,   -3.1366712832E-02,   -1.6449156018E-04,    7.8540354689E-01,                  NaN
    5.4687500000E-02,   -3.5385760535E-02,   -1.9434672792E-04,    7.8540354689E-01,                  NaN
    5.6640625000E-02,   -3.9771120274E-02,   -2.2928905184E-04,    7.8540354689E-01,                  NaN
    5.8593750000E-02,   -4.4448039280E-02,   -2.6955144924E-04,    7.8540354689E-01,                  NaN
    6.0546875000E-02,   -4.9344764520E-02,   -3.1530256513E-04,    7.8540354689E-01,                  NaN
    6.2500000000E-02,   -5.4393609212E-02,   -3.6664593963E-04,    7.8540354689E-01,                  NaN
    6.4453125000E-02,   -5.9532209881E-02,   -4.2362244198E-04,    7.8540354689E-01,                  NaN
    6.6406250000E-02,   -6.4705860778E-02,   -4.8622298849E-04,    7.8540354689E-01,                  NaN
    6.8359375000E-02,   -6.9870072995E-02,   -5.5440990973E-04,    7.8540354689E-01,                  NaN
    7.0312500000E-02,   -7.4992234547E-02,   -6.2814097273E-04,    7.8540354689E-01,                  NaN
    7.2265625000E-02,   -8.0051854147E-02,   -7.0739063213E-04,    7.8540354689E-01,                  NaN
    7.4218750000E-02,   -8.5039500766E-02,   -7.9216551056E-04,    7.8540354689E-01,                  NaN
    7.6171875000E-02,   -8.9954859731E-02,   -8.8251314872E-04,    7.8540354689E-01,                  NaN
    7.8125000000E-02,   -9.4804381022E-02,   -9.7852438209E-04,    7.8540354689E-01,                  NaN
    8.0078125000E-02,   -9.9598929111E-02,   -1.0803305713E-03,    7.8540354689E-01,                  NaN
    8.2031250000E-02,   -1.0435171931E-01,   -1.1880973495E-03,    7.8540354689E-01,                  NaN
    8.3984375000E-02,   -1.0907668058E-01,   -1.3020164900E-03,    7.8540354689E-01,                  NaN
    8.5937500000E-02,   -1.1378726458E-01,   -1.4222971482E-03,    7.8540354689E-01,                  NaN
    8.7890625000E-02,   -1.1849565559E-01,   -1.5491574180E-03,    7.8540354689E-01,                  NaN
    8.9843750000E-02,   -1.2321231850E-01,   -1.6828169857E-03,    7.8540354689E-01,                  NaN
    9.1796875000E-02,   -1.2794582404E-01,   -1.8234915549E-03,    7.8540354689E-01,                  NaN
    9.3750000000E-02,   -1.3270289139E-01,   -1.9713894970E-03,    7.8540354689E-01,                  NaN
    9.5703125000E-02,   -1.3748858820E-01,   -2.1267108815E-03,    7.8540354689E-01,                  NaN
    9.7656250000E-02,   -1.4230663348E-01,   -2.2896487744E-03,    7.8540354689E-01,                  NaN
    9.9609375000E-02,   -1.4715976109E-01,   -2.4603925421E-03,    7.8540354689E-01,                  NaN
    1.0156250000E-01,   -1.5205011598E-01,   -2.6391328662E-03,    7.8540354689E-01,                  NaN
    1.0351562500E-01,   -1.5697966378E-01,   -2.8260681584E-03,    7.8540354689E-01,                  NaN
    1.0546875000E-01,   -1.6195059576E-01,   -3.0214120259E-03,    7.8540354689E-01,                  NaN
    1.0742187500E-01,   -1.6696570827E-01,   -3.2254013542E-03,    7.8540354689E-01,                  NaN
    1.0937500000E-01,   -1.7202873231E-01,   -3.4383044873E-03,    7.8540354689E-01,                  NaN
    1.1132812500E-01,   -1.7714458841E-01,   -3.6604289210E-03,    7.8540354689E-01,                  NaN
    1.1328125000E-01,   -1.8231954496E-01,   -3.8921279081E-03,    7.8540354689E-01,                  NaN
    1.1523437500E-01,   -1.8756126467E-01,   -4.1338054198E-03,    7.8540354689E-01,                  NaN
    1.1718750000E-01,   -1.9287873258E-01,   -4.3859189993E-03,    7.8540354689E-01,                  NaN
    1.1914062500E-01,   -1.9828206888E-01,   -4.6489801948E-03,    7.8540354689E-01,                  NaN
    1.2109375000E-01,   -2.0378223926E-01,   -4.9235524317E-03,    7.8540354689E-01,                  NaN
    1.2304687500E-01,   -2.0939068348E-01,   -5.2102463644E-03,    7.8540354689E-01,                  NaN
    1.2500000000E-01,   -2.1511888798E-01,   -5.5097129147E-03,    7.8540354689E-01,                  NaN
    1.2695312500E-01,   -2.2097793112E-01,   -5.8226343379E-03,    7.8540354689E-01,                  NaN
    1.2890625000E-01,   -2.2697802927E-01,   -6.1497137483E-03,    7.8540354689E-01,                  NaN
    1.3085937500E-01,   -2.3312810999E-01,   -6.4916635882E-03,    7.8540354689E-01,                  NaN
    1.3281250000E-01,   -2.3943543398E-01,   -6.8491935271E-03,    7.8540354689E-01,                  NaN
    1.3476562500E-01,   -2.4590528269E-01,   -7.2229982535E-03,    7.8540354689E-01,                  NaN
    1.3671875000E-01,   -2.5254072254E-01,   -7.6137455559E-03,    7.8540354689E-01,                  NaN
    1.3867187500E-01,   -2.5934245104E-01,   -8.0220650217E-03,    7.8540354689E-01,                  NaN
    1.4062500000E-01,   -2.6630872477E-01,   -8.4485375928E-03,    7.8540354689E-01,                  NaN
    1.4257812500E-01,   -2.7343536449E-01,   -8.8936861283E-03,    7.8540354689E-01,                  NaN
    1.4453125000E-01,   -2.8071582922E-01,   -9.3579670540E-03,    7.8540354689E-01,                  NaN
    1.4648437500E-01,   -2.8814134876E-01,   -9.8417631256E-03,    7.8540354689E-01,                  NaN
    1.4843750000E-01,   -2.9570110256E-01,   -1.0345377283E-02,    7.8540354689E-01,                  NaN
    1.5039062500E-01,   -3.0338243266E-01,   -1.0869027551E-02,    7.8540354689E-01,                  NaN
    1.5234375000E-01,   -3.1117107849E-01,   -1.1412842935E-02,    7.8540354689E-01,                  NaN
    1.5429687500E-01,   -3.1905142273E-01,   -1.1976860270E-02,    7.8540354689E-01,                  NaN
    1.5625000000E-01,   -3.2700673917E-01,   -1.2561021987E-02,    7.8540354689E-01,                  NaN
    1.5820312500E-01,   -3.3501943492E-01,   -1.3165174813E-02,    7.8540354689E-01,                  NaN
    1.6015625000E-01,   -3.4307128184E-01,   -1.3789069415E-02,    7.8540354689E-01,                  NaN
    1.6210937500E-01,   -3.5114363372E-01,   -1.4432361040E-02,    7.8540354689E-01,                  NaN
    1.6406250000E-01,   -3.5921762788E-01,   -1.5094611241E-02,    7.8540354689E-01,                  NaN
    1.6601562500E-01,   -3.6727437101E-01,   -1.5775290758E-02,    7.8540354689E-01,                  NaN
    1.6796875000E-01,   -3.7529510997E-01,   -1.6473783635E-02,    7.8540354689E-01,                  NaN
    1.6992187500E-01,   -3.8326138928E-01,   -1.7189392656E-02,    7.8540354689E-01,                  NaN
    1.7187500000E-01,   -3.9115519732E-01,   -1.7921346145E-02,    7.8540354689E-01,                  NaN
    1.7382812500E-01,   -3.9895910339E-01,   -1.8668806156E-02,    7.8540354689E-01,                  NaN
    1.7578125000E-01,   -4.0665638729E-01,   -1.9430878029E-02,    7.8540354689E-01,                  NaN
    1.7773437500E-01,   -4.1423116275E-01,   -2.0206621240E-02,    7.8540354689E-01,                  NaN
    1.7968750000E-01,   -4.2166849461E-01,   -2.0995061406E-02,    7.8540354689E-01,                  NaN
    1.8164062500E-01,   -4.2895450991E-01,   -2.1795203262E-02,    7.8540354689E-01,                  NaN
    1.8359375000E-01,   -4.3607650241E-01,   -2.2606044401E-02,    7.8540354689E-01,                  NaN
    1.8554687500E-01,   -4.4302302878E-01,   -2.3426589468E-02,    7.8540354689E-01,                  NaN
    1.8750000000E-01,   -4.4978399425E-01,   -2.4255864509E-02,    7.8540354689E-01,                  NaN
    1.8945312500E-01,   -4.5635072534E-01,   -2.5092931100E-02,    7.8540354689E-01,                  NaN
    1.9140625000E-01,   -4.6271602808E-01,   -2.5936899967E-02,    7.8540354689E-01,                  NaN
    1.9335937500E-01,   -4.6887422960E-01,   -2.6786943700E-02,    7.8540354689E-01,                  NaN
    1.9531250000E-01,   -4.7482120114E-01,   -2.7642308297E-02,    7.8540354689E-01,                  NaN
    1.9726562500E-01,   -4.8055436089E-01,   -2.8502323191E-02,    7.8540354689E-01,                  NaN
    1.9921875000E-01,   -4.8607265534E-01,   -2.9366409509E-02,    7.8540354689E-01,                  NaN
    2.0117187500E-01,   -4.9137651879E-01,   -3.0234086335E-02,    7.8540354689E-01,                  NaN
    2.0312500000E-01,   -4.9646781119E-01,   -3.1104974836E-02,    7.8540354689E-01,                  NaN
    2.0507812500E-01,   -5.0134973542E-01,   -3.1978800177E-02,    7.8540354689E-01,                  NaN
    2.0703125000E-01,   -5.0602673583E-01,   -3.2855391210E-02,    7.8540354689E-01,                  NaN
    2.0898437500E-01,   -5.1050438051E-01,   -3.3734678004E-02,    7.8540354689E-01,                  NaN
    2.1093750000E-01,   -5.1478922927E-01,   -3.4616687298E-02,    7.8540354689E-01,                  NaN
    2.1289062500E-01,   -5.1888869025E-01,   -3.5501536021E-02,    7.8540354689E-01,                  NaN
    2.1484375000E-01,   -5.2281086836E-01,   -3.6389423101E-02,    7.8540354689E-01,                  NaN
    2.1679687500E-01,   -5.2656440877E-01,   -3.7280619778E-02,    7.8540354689E-01,                  NaN
    2.1875000000E-01,   -5.3015833891E-01,   -3.8175458709E-02,    7.8540354689E-01,                  NaN
    2.2070312500E-01,   -5.3360191196E-01,   -3.9074322155E-02,    7.8540354689E-01,                  NaN
    2.2265625000E-01,   -5.3690445481E-01,   -3.9977629514E-02,    7.8540354689E-01,                  NaN
    2.2460937500E-01,   -5.4007522263E-01,   -4.0885824467E-02,    7.8540354689E-01,                  NaN
